user,item,topk,new_topk,counterfactual,predicted_scores,replacement
0,609,"[609, 611, 882, 541, 645, 528, 168, 1389, 11, 406, 1124, 915, 996, 491, 1129, 481, 654, 652, 789, 1330, 914, 344, 706, 766, 749, 1450, 956, 1254, 1136, 669, 318, 513, 957, 949, 1480, 170, 99, 741, 507, 208, 1477, 1106, 428, 959, 1156, 610, 527, 509, 1582, 732]","[168, 11, 609, 481, 611, 882, 915, 645, 957, 528, 1582, 541, 406, 1389, 1124, 749, 654, 732, 1136, 1254, 491, 956, 914, 344, 996, 766, 706, 509, 1477, 318, 1480, 789, 959, 1156, 949, 170, 208, 1450, 1106, 1129, 428, 741, 610, 513, 652, 507, 669, 1330, 99, 527]","{130, 258, 132, 262, 263, 136, 135, 266, 12, 13, 142, 18, 147, 21, 154, 28, 157, 34, 163, 166, 41, 42, 44, 175, 176, 49, 182, 183, 56, 187, 64, 193, 68, 69, 196, 72, 201, 80, 210, 82, 212, 84, 92, 222, 98, 100, 105, 234, 108, 236, 251, 242, 116, 119, 248, 121, 123, 252, 125}","[5.6355453, 5.228416, 5.2182984, 5.078169, 5.148114, 5.1110115, 5.650837, 4.9890814, 5.641437, 5.0057077, 4.987664, 5.180639, 4.824733, 4.856802, 4.662869, 5.483955, 4.9148836, 4.57231, 4.7304673, 4.5297327, 4.833904, 4.8298435, 4.7987623, 4.803297, 4.9564123, 4.6851397, 4.8563256, 4.858234, 4.862377, 4.5600734, 4.761567, 4.6043615, 5.123501, 4.712023, 4.732189, 4.7001386, 4.51476, 4.644919, 4.5609403, 4.6867595, 4.769521, 4.6781526, 4.650443, 4.7216196, 4.7148485, 4.6283083, 4.5035014, 4.7865567, 5.0808153, 4.885198]",1582
1,849,"[849, 1292, 1231, 637, 851, 370, 379, 55, 536, 59, 901, 895, 599, 610, 1158, 261, 306, 92, 1174, 473, 541, 178, 200, 1264, 1146, 645, 915, 749, 694, 531, 714, 461, 848, 587, 45, 1092, 1154, 1156, 884, 235, 705, 8, 510, 1163, 1246, 839, 23, 860, 1013, 1369]","[749, 849, 1292, 1231, 637, 851, 370, 379, 55, 59, 895, 200, 610, 306, 92, 1146, 599, 1158, 261, 1174, 1264, 473, 541, 178, 645, 915, 694, 235, 531, 536, 848, 714, 1156, 1092, 587, 461, 8, 510, 1154, 45, 23, 860, 1163, 1369, 705, 1013, 839, 901, 1246, 884]","{259, 266, 334, 335, 337, 305, 244, 341}","[5.5248585, 5.3869786, 5.287697, 5.18216, 5.1487155, 5.117436, 5.0934944, 5.0825553, 4.676132, 4.9605293, 4.4863286, 4.9211965, 4.8339925, 4.892359, 4.826104, 4.8221126, 4.884446, 4.883357, 4.7918644, 4.7838492, 4.772891, 4.7679477, 4.897405, 4.7898464, 4.842168, 4.750276, 4.746816, 5.5265803, 4.724809, 4.6820984, 4.6535068, 4.626852, 4.6723924, 4.6302586, 4.5765634, 4.6324315, 4.5769916, 4.638295, 4.179964, 4.685381, 4.528452, 4.617931, 4.5942526, 4.547593, 4.4642, 4.4925036, 4.5693974, 4.560881, 4.507899, 4.5373335]",749
2,344,"[344, 491, 318, 789, 612, 611, 899, 914, 766, 13, 113, 168, 891, 882, 274, 527, 673, 425, 609, 893, 477, 996, 63, 1117, 189, 162, 867, 807, 127, 706, 406, 776, 338, 541, 851, 197, 82, 269, 654, 1436, 850, 956, 486, 1440, 1157, 461, 170, 9, 1238, 645]","[318, 344, 789, 425, 899, 1117, 491, 891, 113, 766, 168, 914, 893, 612, 673, 162, 274, 609, 527, 486, 807, 127, 611, 477, 406, 776, 189, 867, 706, 13, 882, 1157, 170, 197, 996, 956, 63, 1436, 338, 1440, 461, 9, 850, 654, 82, 645, 1238, 541, 269, 851]","{256, 1, 258, 388, 389, 134, 391, 396, 400, 401, 402, 20, 24, 152, 412, 161, 421, 167, 423, 41, 426, 171, 173, 180, 185, 446, 452, 199, 203, 78, 208, 221, 226, 227, 228, 108, 368, 240, 120, 381}","[5.8290005, 5.2774673, 6.030304, 5.475595, 5.0860195, 4.9529924, 5.3039103, 5.1567416, 5.1603546, 4.819276, 5.204321, 5.157302, 5.274797, 4.81287, 5.022153, 4.988789, 5.0705237, 5.4526405, 5.001427, 5.095804, 4.9523845, 4.710643, 4.6861057, 5.279768, 4.9225326, 5.039748, 4.8764215, 4.9822793, 4.9696712, 4.8369064, 4.9480457, 4.9477296, 4.6644974, 4.4920363, 4.393007, 4.7779803, 4.536555, 4.414543, 4.553495, 4.6856084, 4.553968, 4.692764, 4.985928, 4.652796, 4.800347, 4.6392083, 4.785767, 4.63421, 4.5187, 4.5342503]",1117
3,1352,"[1352, 1272, 1525, 642, 601, 1012, 659, 355, 928, 1485, 732, 541, 651, 1011, 858, 1180, 1578, 1430, 863, 1441, 646, 600, 1181, 720, 1094, 613, 605, 599, 654, 1351, 223, 614, 661, 376, 604, 629, 1190, 390, 524, 156, 133, 44, 704, 212, 631, 441, 60, 169, 649, 73]","[355, 1352, 642, 601, 1272, 1525, 600, 646, 605, 928, 732, 720, 651, 649, 1011, 1180, 613, 1012, 858, 1181, 541, 212, 1094, 661, 659, 1485, 631, 376, 614, 1578, 1430, 441, 1190, 223, 604, 44, 863, 73, 169, 629, 1441, 524, 156, 704, 390, 1351, 133, 599, 654, 60]","{0, 512, 515, 6, 7, 532, 21, 150, 20, 284, 291, 425, 300, 177, 49, 308, 58, 315, 316, 63, 191, 68, 459, 460, 78, 208, 210, 467, 471, 478, 480, 482, 99, 486, 488, 236, 494}","[5.444288, 5.2280064, 5.010765, 5.434433, 5.229996, 4.7637405, 4.665816, 5.447219, 4.9109836, 4.6465764, 4.906566, 4.6989064, 4.8796153, 4.7982693, 4.7168612, 4.777189, 4.5724382, 4.5648293, 4.4110303, 4.3739657, 4.949712, 4.9857335, 4.7150955, 4.9046855, 4.682915, 4.7710457, 4.9180107, 4.2224064, 4.216935, 4.2887774, 4.4465065, 4.6023955, 4.681354, 4.6164875, 4.42965, 4.39897, 4.490805, 4.314569, 4.36534, 4.3399854, 4.2746367, 4.4296045, 4.3251057, 4.685984, 4.624673, 4.5283604, 4.1493454, 4.40739, 4.8235064, 4.409522]",355
4,698,"[698, 1578, 1118, 1441, 1147, 1246, 1352, 1444, 268, 1430, 691, 1141, 1581, 688, 1190, 858, 1154, 706, 281, 1292, 945, 895, 860, 1582, 937, 518, 1140, 1012, 1088, 492, 1076, 1485, 342, 462, 884, 694, 243, 1576, 294, 934, 1359, 303, 5, 1402, 1279, 1134, 301, 1384, 719, 261]","[1578, 268, 1118, 1147, 1352, 719, 698, 1140, 1430, 1441, 688, 1246, 1444, 1384, 1292, 1012, 691, 895, 860, 937, 1141, 342, 5, 858, 1581, 261, 694, 301, 1190, 1485, 303, 1134, 281, 1154, 706, 1582, 1088, 945, 1076, 934, 518, 1359, 462, 884, 294, 492, 1402, 243, 1576, 1279]","{3, 6, 10, 524, 22, 535, 545, 546, 548, 549, 43, 46, 560, 49, 50, 55, 63, 68, 582, 70, 588, 80, 593, 600, 89, 92, 605, 604, 96, 608, 98, 612, 627, 629, 631, 635, 124, 637, 131, 132, 646, 648, 649, 139, 140, 143, 656, 144, 658, 668, 669, 670, 162, 675, 163, 678, 167, 680, 172, 176, 181, 193, 195, 200, 201, 202, 203, 210, 211, 216, 225, 228, 229, 231, 258, 259, 267, 292, 305, 316, 365, 377, 380, 383, 400, 401, 402, 403, 413, 418, 421, 425, 427, 438, 446, 450, 480, 483, 487, 490, 496, 497, 499, 500, 503, 504, 507, 508}","[5.8699374, 6.178155, 6.1212826, 5.5879164, 5.947518, 5.5568666, 5.897579, 5.552242, 6.1534905, 5.6882753, 5.3663883, 5.32791, 5.268345, 5.565216, 5.2234583, 5.2763605, 5.166669, 5.109333, 5.17236, 5.4674153, 5.043772, 5.364177, 5.351883, 5.0905967, 5.3512483, 5.026718, 5.7638445, 5.4059453, 5.057888, 4.9654756, 5.0335197, 5.2201343, 5.3200307, 5.005352, 4.973991, 5.246994, 4.917505, 4.9017453, 4.9700913, 5.026744, 5.021456, 5.207513, 5.3102927, 4.9232965, 4.8987827, 5.1782475, 5.244912, 5.549102, 5.87263, 5.2564034]",719
5,1190,"[1190, 1010, 484, 895, 188, 860, 849, 419, 243, 749, 610, 113, 636, 142, 510, 270, 1252, 390, 283, 127, 1581, 1054, 222, 536, 461, 914, 842, 88, 743, 417, 1047, 293, 254, 698, 303, 1147, 205, 6, 49, 212, 457, 937, 92, 513, 890, 706, 168, 296, 928, 406]","[49, 1190, 610, 188, 749, 484, 849, 419, 860, 895, 636, 1252, 1010, 113, 142, 1581, 127, 461, 928, 243, 293, 88, 513, 390, 283, 270, 842, 1054, 417, 510, 222, 1147, 698, 6, 914, 212, 303, 536, 1047, 937, 890, 254, 743, 406, 296, 92, 457, 706, 168, 205]","{384, 519, 8, 10, 11, 524, 14, 399, 275, 547, 298, 51, 189, 578, 322, 68, 709, 453, 330, 214, 87, 728, 348, 221, 733, 745, 108, 237, 238, 119}","[5.426203, 5.2468905, 5.3117347, 5.2786503, 5.3224244, 5.282648, 5.286837, 5.2842903, 5.0361204, 5.3217134, 5.3693357, 5.137569, 5.276138, 5.1289406, 4.8323207, 4.897369, 5.2546344, 4.8982606, 4.8977995, 5.08275, 5.088094, 4.8664293, 4.8282294, 4.6857705, 5.064428, 4.718349, 4.891411, 4.9818196, 4.5669413, 4.84629, 4.6556945, 5.0331573, 4.572012, 4.769876, 4.7125325, 4.8027415, 4.4540534, 4.7492533, 5.4327416, 4.713155, 4.5082927, 4.6485634, 4.5183153, 4.9266233, 4.6205473, 4.503022, 4.4884453, 4.5481634, 5.050177, 4.566259]",49
6,462,"[462, 1190, 390, 1010, 313, 84, 1272, 1012, 631, 1352, 1181, 132, 486, 168, 970, 914, 311, 651, 891, 1582, 1441, 432, 658, 1141, 254, 1046, 130, 726, 29, 720, 1282, 913, 165, 484, 244, 518, 340, 1182, 1485, 590, 612, 526, 522, 255, 603, 118, 1076, 1525, 1179, 582]","[462, 1272, 1190, 651, 390, 130, 1010, 29, 313, 1282, 84, 1582, 132, 1012, 631, 311, 1485, 1352, 1181, 658, 1046, 486, 168, 970, 254, 891, 1441, 720, 1141, 432, 914, 518, 726, 165, 484, 244, 612, 340, 913, 1179, 590, 1076, 526, 582, 603, 522, 1182, 1525, 255, 118]","{512, 514, 515, 3, 8, 520, 10, 12, 525, 16, 538, 32, 549, 551, 552, 47, 568, 61, 576, 67, 71, 583, 85, 88, 89, 99, 108, 109, 110, 622, 117, 120, 633, 635, 126, 645, 659, 149, 151, 152, 153, 663, 156, 676, 682, 683, 173, 687, 176, 178, 180, 181, 182, 189, 193, 195, 198, 199, 201, 716, 207, 221, 222, 736, 226, 228, 229, 744, 236, 751, 240, 241, 756, 758, 764, 257, 769, 770, 262, 266, 268, 785, 274, 786, 788, 796, 285, 287, 802, 806, 808, 815, 306, 309, 822, 821, 310, 826, 315, 325, 838, 839, 843, 336, 849, 855, 857, 861, 356, 870, 882, 394, 409, 411, 433, 441, 461, 465, 471, 473, 475, 481, 490, 495, 499, 502, 505, 506, 507}","[5.9158463, 5.824644, 5.6017036, 5.6007957, 5.5020547, 5.416739, 5.829297, 5.332476, 5.320814, 5.2038307, 5.1812086, 5.3678875, 5.1436825, 5.136388, 5.1340327, 5.0142093, 5.288271, 5.765201, 5.0743623, 5.3745246, 5.0665793, 5.0152574, 5.1747427, 5.0184116, 5.112381, 5.154842, 5.600925, 4.9256673, 5.5036073, 5.049559, 5.4786034, 4.8147397, 4.9100795, 4.8858747, 4.874, 4.9430456, 4.8470807, 4.672439, 5.2836676, 4.7778053, 4.865242, 4.7614217, 4.6740127, 4.618769, 4.748968, 4.616149, 4.7698445, 4.6587534, 4.7973742, 4.7533417]",130
7,293,"[293, 237, 212, 494, 492, 481, 945, 1190, 505, 714, 268, 649, 213, 1003, 484, 946, 222, 97, 525, 858, 962, 698, 206, 1581, 937, 691, 636, 9, 1047, 704, 728, 207, 169, 657, 460, 1147, 370, 1054, 64, 497, 830, 608, 895, 801, 531, 174, 605, 1351, 1124, 630]","[237, 945, 213, 293, 212, 714, 525, 268, 370, 484, 691, 636, 492, 698, 222, 1190, 1581, 206, 937, 1054, 481, 505, 207, 946, 858, 64, 630, 531, 608, 494, 962, 657, 9, 895, 1047, 704, 605, 830, 460, 169, 497, 728, 801, 1351, 1003, 174, 1124, 649, 1147, 97]","{256, 738, 6, 840, 745, 810, 298, 12, 589, 750, 49, 308, 180, 921}","[5.187478, 5.296091, 5.1449547, 4.790907, 4.998401, 4.89811, 5.2038593, 4.964692, 4.894548, 5.14075, 5.1249657, 4.3428226, 5.188875, 4.4540854, 5.074515, 4.867251, 4.9661527, 4.288146, 5.1371694, 4.8546414, 4.692376, 4.9921455, 4.944176, 4.9443593, 4.929836, 5.0139527, 5.003485, 4.673284, 4.60192, 4.5877924, 4.5115304, 4.876784, 4.5370493, 4.683921, 4.5372024, 4.315828, 5.099451, 4.916585, 4.83261, 4.524661, 4.5546513, 4.7985053, 4.6377335, 4.4808807, 4.7997956, 4.4522533, 4.5725875, 4.471937, 4.4121075, 4.8111243]",630
8,1430,"[1430, 1578, 509, 1297, 5, 518, 1352, 180, 49, 1129, 1485, 146, 1582, 954, 528, 186, 191, 1330, 832, 1104, 524, 261, 13, 897, 903, 376, 27, 611, 774, 311, 659, 1092, 485, 639, 1139, 295, 746, 164, 81, 1147, 241, 1441, 1525, 78, 165, 858, 525, 1055, 1012, 1124]","[5, 509, 1297, 1147, 1430, 1578, 518, 180, 146, 524, 1352, 13, 1092, 376, 1582, 186, 528, 611, 191, 774, 659, 832, 49, 746, 1104, 241, 27, 1139, 1129, 897, 954, 1330, 485, 164, 1485, 261, 525, 78, 1124, 311, 295, 81, 858, 165, 903, 1012, 639, 1525, 1441, 1055]","{640, 6, 8, 10, 652, 26, 286, 163, 177, 690, 562, 181, 54, 55, 182, 702, 319, 65, 581, 198, 201, 208, 465, 469, 91, 477, 480, 98, 496, 500, 502, 507}","[5.858172, 5.8113513, 5.9235377, 5.902594, 6.0598974, 5.6613727, 5.5303907, 5.614881, 5.437563, 5.395125, 5.2831416, 5.5719676, 5.489525, 5.341569, 5.476378, 5.4767003, 5.472611, 5.3012657, 5.4409866, 5.418532, 5.5501738, 5.2421722, 5.5124555, 5.3650804, 5.0548863, 5.491198, 5.4031425, 5.475492, 5.4708276, 5.150741, 5.449392, 5.5082235, 5.3003, 4.9944844, 5.398893, 5.1210885, 5.4261923, 5.285535, 5.107401, 5.8584776, 5.40327, 4.9221377, 4.946998, 5.2065115, 5.0746994, 5.0851326, 5.232938, 4.908539, 5.0380588, 5.1601057]",1147
9,536,"[536, 741, 475, 766, 899, 914, 1440, 971, 706, 306, 243, 1444, 694, 1154, 323, 698, 1161, 456, 850, 705, 484, 809, 92, 654, 216, 344, 12, 457, 891, 1190, 338, 268, 1156, 860, 83, 890, 789, 90, 1010, 1013, 1292, 380, 895, 330, 587, 851, 1089, 1099, 303, 1299]","[860, 694, 303, 92, 338, 536, 895, 851, 741, 475, 766, 899, 243, 914, 698, 1440, 484, 971, 706, 306, 1190, 1444, 1010, 323, 1089, 330, 456, 1154, 1161, 850, 705, 890, 216, 654, 809, 12, 344, 457, 1156, 891, 90, 789, 1013, 587, 1292, 1299, 1099, 380, 83, 268]","{355, 10, 494, 180, 926}","[5.4440856, 5.349267, 5.321673, 5.3207173, 5.237893, 5.048472, 5.006256, 4.986859, 4.885764, 4.8816195, 5.193378, 4.8458323, 5.692121, 4.708967, 4.7678227, 5.0195975, 4.6962395, 4.710805, 4.6937685, 4.6900697, 4.9998326, 4.5913544, 5.554882, 4.6079845, 4.624585, 4.561527, 4.5702972, 4.5563974, 4.5308304, 4.874975, 5.4760485, 4.1661034, 4.5424123, 5.781255, 4.2088356, 4.6782274, 4.477227, 4.4817395, 4.7967277, 4.471725, 4.4001484, 4.3652196, 5.36111, 4.748587, 4.422702, 5.351496, 4.7678194, 4.366792, 5.635946, 4.3858376]",338
