user,item,topk,new_topk,counterfactual,predicted_scores,replacement
181,514,"[514, 1552, 1231, 832, 748, 1010, 1444, 1373, 1140, 1246, 1554, 250, 5, 173, 737, 165, 698, 243, 749, 348]","[5, 1246, 1140, 173, 698, 514, 737, 1552, 1231, 832, 1444, 1010, 748, 1373, 1554, 250, 348, 243, 165, 749]","{7, 8, 11, 525, 1039, 1040, 1046, 25, 1054, 40, 41, 49, 53, 54, 55, 64, 65, 576, 67, 72, 589, 80, 594, 85, 95, 99, 104, 108, 620, 625, 626, 122, 131, 133, 134, 138, 140, 653, 142, 143, 1165, 670, 171, 693, 1206, 1208, 190, 702, 194, 201, 202, 725, 728, 221, 227, 743, 747, 242, 759, 247, 258, 269, 786, 276, 788, 281, 286, 288, 289, 292, 804, 313, 826, 314, 835, 837, 340, 345, 352, 360, 874, 885, 378, 390, 394, 397, 403, 916, 1428, 407, 408, 410, 926, 931, 421, 429, 955, 449, 454, 968, 992, 1005, 495, 498, 505}","[4.7368317, 4.6779203, 4.574371, 4.5512896, 4.467316, 4.4793873, 4.4928803, 4.4242024, 4.891657, 4.9560986, 4.421429, 4.2838435, 4.9619665, 4.768097, 4.6833496, 4.1770635, 4.737981, 4.1794944, 4.154009, 4.2581415]",698
182,1147,"[1147, 1118, 1430, 1578, 688, 849, 509, 1352, 1292, 187, 950, 1246, 338, 610, 198, 541, 1485, 1061, 445, 274]","[1430, 1578, 849, 1485, 1147, 509, 1118, 1352, 610, 1292, 950, 1246, 274, 198, 338, 688, 187, 1061, 541, 445]","{1024, 389, 649, 653, 656, 401, 150, 23, 280, 793, 155, 28, 414, 417, 172, 1070, 566, 185, 576, 66, 67, 72, 76, 716, 225, 100, 742, 494, 625, 116, 122, 127}","[5.613477, 5.448685, 6.1969433, 5.705849, 4.8901997, 5.625323, 5.4817157, 5.430923, 5.1390195, 4.6736016, 5.0316057, 5.0313525, 4.9590263, 5.2345023, 4.967128, 4.567907, 5.6186867, 4.6375155, 4.5565705, 5.0203094]",1485
183,509,"[509, 1430, 1485, 1525, 1129, 186, 601, 355, 610, 732, 652, 1330, 485, 133, 171, 202, 118, 1254, 1055, 184]","[1430, 1485, 1525, 1055, 509, 610, 601, 133, 171, 1330, 184, 118, 1129, 652, 202, 186, 355, 1254, 485, 732]","{320, 193, 64, 325, 107, 336, 338, 980, 702, 286}","[5.3498726, 6.03498, 5.6951556, 5.371415, 4.979169, 4.900701, 5.249617, 4.869167, 5.315145, 4.3524756, 4.96612, 5.0303583, 4.725857, 5.102187, 5.0621815, 4.925018, 4.982257, 4.827505, 5.3628545, 5.018478]",1055
184,1330,"[1330, 1430, 954, 1129, 311, 295, 509, 316, 485, 97, 189, 957, 649, 21, 1525, 609, 118, 526, 214, 1485]","[1430, 1129, 1485, 954, 311, 1330, 295, 509, 1525, 118, 316, 485, 97, 957, 21, 649, 526, 214, 189, 609]","{133, 134, 589, 14, 1011, 660, 661, 502, 24, 153, 282, 731, 445, 126}","[4.9535284, 5.5476866, 4.9791965, 5.149605, 4.9558177, 4.926379, 4.9230523, 4.7996616, 4.748841, 4.721663, 4.354162, 4.676997, 4.643705, 4.6692467, 4.8317175, 4.272957, 4.8213377, 4.5745916, 4.5571847, 4.9797997]",1485
185,849,"[849, 514, 536, 1013, 1156, 1444, 306, 216, 235, 741, 766, 637, 250, 370, 1440, 249, 749, 809, 1246, 1369]","[849, 536, 1013, 1156, 766, 306, 216, 741, 1444, 370, 637, 1440, 250, 749, 1369, 809, 514, 1246, 235, 249]","{549, 71, 552, 234, 429, 338, 146, 694}","[5.279838, 4.5642653, 4.852927, 4.851351, 4.824459, 4.6630816, 4.7018156, 4.7016416, 4.417109, 4.6854267, 4.7608542, 4.640656, 4.612454, 4.6548476, 4.624751, 4.355391, 4.5999637, 4.5750036, 4.537234, 4.581393]",1369
186,1205,"[1205, 78, 337, 425, 937, 124, 127, 966, 673, 477, 114, 490, 452, 601, 1054, 188, 631, 891, 725, 1181]","[425, 78, 337, 673, 477, 1054, 937, 124, 490, 1181, 966, 1205, 601, 891, 114, 631, 127, 452, 725, 188]","{64, 153, 483, 427, 43, 653, 142, 657, 242, 402, 499, 24, 505, 282, 284}","[4.596776, 5.081316, 5.039424, 5.0941343, 4.6627474, 4.6463475, 4.2818723, 4.5979524, 4.984308, 4.7567115, 4.4474607, 4.6151896, 4.225849, 4.5944114, 4.679634, 4.1553254, 4.3969746, 4.5037065, 4.186669, 4.608245]",1181
187,1330,"[1330, 235, 331, 1264, 5, 963, 344, 189, 1013, 714, 1153, 937, 637, 498, 901, 1150, 370, 644, 1441, 652]","[1330, 331, 189, 1153, 1150, 963, 644, 652, 1264, 5, 937, 344, 1013, 714, 901, 498, 637, 370, 235, 1441]","{274, 282, 234, 147}","[5.8394794, 4.8365865, 5.7344565, 5.342308, 5.2848644, 5.436498, 5.195644, 5.6406336, 5.1223288, 5.099331, 5.5474606, 5.2765207, 5.05861, 5.075936, 5.0864687, 5.444517, 4.9864273, 5.423744, 4.7540665, 5.383977]",652
188,748,"[748, 551, 219, 1552, 108, 1010, 567, 996, 367, 518, 407, 120, 1118, 1140, 391, 250, 65, 594, 1147, 860]","[1147, 748, 996, 219, 551, 65, 407, 120, 1552, 1118, 108, 367, 1140, 860, 1010, 518, 391, 250, 594, 567]","{930, 675, 325, 680, 298, 270, 686, 305, 311, 284}","[5.1245737, 4.9856024, 5.0272965, 4.846536, 4.8188453, 4.6669445, 4.4160576, 5.0705495, 4.794131, 4.5516963, 4.9058685, 4.8633294, 4.8464336, 4.7262297, 4.4922547, 4.4720697, 4.950214, 4.4210253, 5.139149, 4.69641]",1147
189,188,"[188, 142, 1003, 291, 127, 601, 472, 477, 490, 314, 1054, 98, 605, 114, 602, 169, 296, 494, 164, 289]","[291, 472, 601, 1054, 188, 477, 142, 1003, 605, 602, 114, 127, 490, 169, 314, 494, 98, 289, 164, 296]","{3, 517, 7, 520, 523, 524, 526, 528, 535, 25, 1049, 28, 30, 34, 548, 37, 38, 552, 559, 51, 53, 568, 57, 572, 573, 574, 64, 66, 71, 76, 85, 86, 89, 604, 96, 625, 639, 642, 140, 655, 657, 660, 1179, 671, 160, 178, 179, 182, 1208, 696, 187, 189, 193, 198, 711, 201, 202, 720, 211, 724, 215, 731, 225, 226, 227, 228, 229, 237, 751, 240, 776, 777, 781, 316, 364, 372, 374, 378, 383, 384, 390, 391, 393, 1421, 397, 414, 934, 936, 938, 426, 428, 939, 439, 468, 502, 507, 508, 509, 511}","[5.3568945, 5.284358, 5.19437, 5.7595954, 4.8501773, 5.368705, 5.5186296, 5.34437, 4.8403635, 4.8172035, 5.3600993, 4.757035, 5.0041256, 4.861463, 4.8988547, 4.8243318, 4.1943474, 4.77295, 4.5943346, 4.6761556]",1054
190,1430,"[1430, 1578, 1352, 1118, 1485, 261, 858, 901, 1147, 903, 897, 639, 688, 1441, 1525, 1055, 301, 1246, 612, 241]","[1578, 1118, 612, 1430, 1352, 1147, 858, 261, 901, 1485, 1441, 301, 241, 688, 903, 897, 639, 1525, 1055, 1246]","{512, 129, 2, 643, 131, 515, 6, 134, 518, 274, 661, 663, 408, 153, 283, 155, 670, 672, 418, 292, 169, 426, 556, 173, 430, 175, 432, 818, 51, 820, 52, 178, 184, 953, 185, 189, 193, 580, 71, 72, 201, 204, 464, 594, 84, 87, 92, 221, 480, 98, 610, 999, 1001, 496, 499, 120, 765, 126, 511}","[5.35701, 5.607376, 5.3272367, 5.3910975, 4.7861786, 4.8405995, 4.8815217, 4.8220544, 4.883488, 4.553291, 4.5193114, 4.494446, 4.5667963, 4.7302346, 4.4407625, 4.4070497, 4.674644, 4.2770214, 5.3571095, 4.5923905]",612
