user,item,topk,new_topk,counterfactual,predicted_scores,replacement
0,1547,"[1547, 1114, 698, 1055, 1441, 1154, 645, 863, 911, 1581, 1578, 1411, 1444, 1430, 516, 487, 426, 283, 1525, 1094]","[1547, 1114, 1154, 698, 645, 1055, 1441, 911, 863, 1411, 1581, 516, 1578, 1444, 1430, 487, 426, 283, 1094, 1525]",{125},"[5.229579, 5.0687184, 5.0138016, 5.0084586, 4.9759216, 5.0232105, 5.008562, 4.945656, 4.9497967, 4.840161, 4.8343673, 4.8775425, 4.829981, 4.8282895, 4.8373685, 4.8146796, 4.784536, 4.783026, 4.7319455, 4.779148]",1154
1,1226,"[1226, 495, 186, 313, 249, 476, 188, 1441, 477, 863, 126, 737, 9, 1159, 706, 456, 611, 914, 8, 893]","[1441, 863, 126, 1226, 495, 186, 249, 313, 476, 188, 477, 737, 9, 1159, 706, 456, 611, 914, 8, 893]",{300},"[4.265857, 4.128924, 4.1193395, 4.012336, 4.0125275, 4.0113044, 4.010319, 4.3045726, 3.9801416, 4.2747283, 4.2677913, 3.966535, 3.9635758, 3.962869, 3.94962, 3.935668, 3.9345067, 3.9125996, 3.9113765, 3.874513]",1441
2,1441,"[1441, 863, 126, 1444, 1430, 118, 1525, 1254, 55, 406, 1540, 1352, 1587, 133, 509, 1229, 659, 714, 186, 1145]","[1441, 863, 126, 509, 1444, 1430, 659, 118, 1525, 1254, 55, 406, 1352, 1540, 1587, 133, 1229, 714, 186, 1145]","{256, 65, 68, 185, 28}","[4.965694, 4.9384646, 4.933157, 4.819751, 4.81842, 4.7315536, 4.721716, 4.707778, 4.7001877, 4.6955614, 4.6873174, 4.6901636, 4.66062, 4.6524477, 4.848094, 4.615792, 4.8175745, 4.587287, 4.559908, 4.5522623]",509
3,1441,"[1441, 863, 1444, 1430, 659, 118, 1525, 1254, 1540, 1352, 1587, 133, 1229, 1114, 714, 1547, 1145, 601, 1129, 846]","[1441, 863, 1444, 1430, 118, 1525, 659, 1254, 1540, 1352, 1587, 133, 1229, 1114, 714, 1547, 1145, 601, 1129, 846]",{490},"[4.872821, 4.842854, 4.72688, 4.724649, 4.6158004, 4.6359434, 4.628845, 4.611402, 4.5940657, 4.5937867, 4.5673676, 4.556356, 4.518937, 4.503793, 4.4904013, 4.4865236, 4.459391, 4.4541063, 4.4488897, 4.4381366]",118
4,1547,"[1547, 698, 1055, 858, 1581, 1578, 845, 903, 1431, 1441, 168, 1373, 11, 863, 311, 518, 406, 113, 250, 801]","[1547, 698, 858, 1055, 1441, 1581, 1578, 863, 845, 903, 1431, 168, 1373, 11, 311, 518, 406, 801, 113, 250]","{480, 512, 43, 428, 211, 22, 602, 541}","[5.670654, 5.4549375, 5.449567, 5.454084, 5.2811747, 5.2753835, 5.161638, 5.156787, 5.1473584, 5.288994, 5.1088147, 5.08246, 5.080672, 5.259885, 5.076091, 5.0492053, 4.997388, 4.985605, 4.9848986, 4.9953423]",1441
5,1547,"[1547, 698, 1055, 1581, 1578, 858, 49, 845, 903, 63, 171, 1373, 173, 1441, 481, 406, 168, 863, 113, 126]","[1547, 698, 1055, 858, 1581, 1578, 49, 171, 63, 845, 903, 173, 1373, 481, 1441, 406, 168, 113, 863, 126]","{56, 716}","[5.089747, 4.8742366, 4.8688507, 4.7005124, 4.69472, 4.708856, 4.678919, 4.581108, 4.576072, 4.5828476, 4.5919547, 4.5017467, 4.5449576, 4.433067, 4.4338727, 4.418326, 4.413831, 4.403338, 4.4090548, 4.400846]",858
6,642,"[642, 1114, 487, 18, 911, 1094, 1154, 1411, 123, 1117, 255, 1181, 531, 605, 1174, 252, 1292, 1581, 643, 915]","[642, 1114, 487, 18, 1094, 911, 1154, 123, 1411, 1117, 255, 1181, 252, 531, 605, 1174, 1292, 1581, 915, 643]","{768, 545, 736}","[5.392566, 5.1641116, 5.1144614, 5.06353, 5.0452604, 5.048722, 4.9822383, 4.9737267, 4.9760327, 4.882567, 4.811665, 4.806377, 4.759924, 4.7488356, 4.7302628, 4.77749, 4.697395, 4.650979, 4.6171365, 4.6383324]",1094
7,642,"[642, 18, 1154, 487, 143, 425, 63, 97, 43, 481, 939, 897, 1124, 135, 185, 316, 465, 650, 125, 115]",,,,-1
8,1547,"[1547, 858, 49, 698, 1055, 1581, 1578, 1431, 168, 509, 845, 903, 311, 659, 518, 204, 1441, 517, 189, 1373]","[1547, 698, 1055, 858, 1581, 1578, 49, 845, 903, 1373, 1431, 168, 1441, 311, 518, 204, 517, 189, 509, 659]","{88, 282, 507, 933}","[6.009966, 5.643037, 5.612868, 5.792402, 5.788466, 5.6200776, 5.6142855, 5.3392076, 5.3005543, 5.142462, 5.5006537, 5.4956875, 5.2677937, 5.1040473, 5.2401323, 5.2396994, 5.295748, 5.2160053, 5.2152753, 5.421361]",1581
9,270,"[270, 314, 1156, 331, 1226, 313, 188, 11, 295, 954, 611, 446, 495, 186, 338, 311, 742, 500, 612, 908]","[270, 314, 1156, 331, 311, 313, 188, 11, 295, 954, 611, 446, 1226, 742, 500, 612, 908, 495, 186, 338]",{68},"[4.2019672, 4.145681, 4.0099435, 3.9932663, 3.7411053, 3.8718534, 3.8412776, 3.8290393, 3.8276103, 3.8030422, 3.7607565, 3.756583, 3.6065385, 3.5975423, 3.5879085, 3.9875455, 3.7205698, 3.6926155, 3.6848705, 3.671612]",311
10,1441,"[1441, 863, 1547, 1444, 1430, 118, 1525, 1254, 1540, 1352, 1587, 698, 133, 1055, 1229, 714, 186, 1145, 601, 1129]","[1441, 863, 1444, 1430, 118, 1525, 1547, 1254, 1352, 1540, 1587, 133, 1229, 714, 186, 1145, 601, 1129, 698, 1055]","{0, 163, 324, 296, 593, 986}","[5.116739, 5.087729, 4.869657, 4.9707966, 4.968323, 4.880817, 4.872762, 4.8556695, 4.8380103, 4.8380547, 4.811313, 4.646625, 4.799216, 4.641235, 4.7628627, 4.734427, 4.7072754, 4.7033067, 4.6991, 4.693152]",118
11,1547,"[1547, 1154, 698, 1055, 1114, 645, 487, 1581, 1578, 911, 1441, 643, 863, 650, 1411, 250, 516, 54, 630, 882]","[1547, 698, 1055, 1154, 1581, 1114, 1578, 487, 645, 1441, 643, 863, 911, 650, 250, 516, 54, 630, 882, 1411]",{365},"[5.648526, 5.420109, 5.4327273, 5.4272995, 5.2552004, 5.1957226, 5.2114024, 5.258994, 5.2532, 5.1369963, 5.185459, 5.15796, 5.1529417, 5.1242623, 5.0655007, 5.114639, 5.113689, 5.1134753, 5.1001563, 5.095066]",1581
12,1547,"[1547, 1441, 863, 126, 698, 1055, 1114, 1444, 1430, 645, 118, 1525, 1254, 1540, 1352, 1587, 1581, 1578, 1411, 1229]","[1547, 1441, 863, 126, 1114, 1444, 1430, 698, 645, 1055, 118, 1525, 1254, 1540, 1352, 1411, 1587, 1581, 1578, 1229]",{412},"[5.1503053, 5.085027, 5.054979, 5.0483756, 4.934441, 4.9287906, 4.991248, 4.9390855, 4.9361916, 4.9306397, 4.8480687, 4.841051, 4.8229175, 4.8063135, 4.805302, 4.7796164, 4.760729, 4.754935, 4.8011513, 4.731262]",1114
13,1547,"[1547, 698, 1055, 858, 49, 1581, 1578, 63, 171, 845, 316, 903, 173, 1441, 1373, 11, 863, 126, 21, 494]","[1547, 698, 1055, 1581, 858, 1578, 49, 63, 171, 845, 903, 316, 173, 1373, 11, 1441, 21, 494, 863, 126]",{115},"[4.6746182, 4.4588714, 4.4535313, 4.284029, 4.2541294, 4.2852163, 4.279423, 4.198704, 4.166338, 4.1657257, 4.127198, 4.1607533, 4.1194277, 4.0289693, 4.0864277, 4.085422, 3.996615, 3.990795, 4.0093756, 4.00536]",1581
14,270,"[270, 314, 1156, 331, 313, 188, 11, 295, 954, 611, 446, 142, 742, 500, 612, 392, 946, 536, 1552, 222]",,,,-1
15,1547,"[1547, 698, 1055, 858, 1581, 1578, 49, 63, 171, 845, 903, 316, 173, 1441, 863, 1373, 11, 126, 21, 494]","[1547, 698, 1055, 858, 49, 63, 171, 1581, 316, 173, 1578, 1441, 21, 845, 494, 903, 863, 126, 1373, 11]",{292},"[4.587777, 4.3701816, 4.3673596, 4.354157, 4.1985383, 4.192745, 4.3232145, 4.2680397, 4.2356634, 4.0787888, 4.074581, 4.1966124, 4.195742, 4.0936437, 4.066723, 4.0002556, 3.9982572, 4.059129, 4.0787907, 4.07486]",49
16,311,"[311, 858, 298, 21, 1431, 168, 190, 946, 268, 518, 204, 517, 189, 894, 1547, 649, 801, 314, 177, 406]","[311, 858, 298, 21, 946, 268, 1431, 894, 168, 190, 314, 518, 204, 517, 189, 1547, 649, 801, 177, 406]","{57, 98, 499, 110}","[5.1051006, 4.8989363, 4.7355623, 4.624107, 4.594719, 4.556071, 4.5381374, 4.616004, 4.61359, 4.496348, 4.495756, 4.4735966, 4.473108, 4.568972, 4.4589286, 4.4571095, 4.4426985, 4.511838, 4.4010763, 4.394345]",946
17,1547,"[1547, 698, 1055, 1581, 1578, 845, 903, 314, 1373, 311, 481, 1156, 331, 250, 858, 1333, 655, 286, 511, 954]","[1547, 698, 1055, 314, 1581, 1578, 845, 903, 1156, 331, 311, 1373, 286, 481, 250, 1333, 655, 511, 858, 954]","{557, 24, 249, 122, 380, 216}","[5.2732515, 5.055967, 5.0511374, 4.8822155, 4.876425, 4.763628, 4.7583575, 4.885968, 4.684031, 4.7244077, 4.616122, 4.749497, 4.732902, 4.5859456, 4.4811234, 4.5347857, 4.518584, 4.655633, 4.4917836, 4.467803]",314
18,509,"[509, 1441, 1547, 863, 659, 126, 1444, 1430, 191, 177, 858, 698, 1055, 118, 1525, 1254, 406, 517, 1540, 1352]","[1547, 1441, 863, 126, 509, 659, 1444, 1430, 698, 1055, 191, 858, 118, 1525, 177, 1254, 406, 1540, 1352, 517]",{97},"[4.7495646, 4.795545, 4.831307, 4.76462, 4.7111425, 4.758238, 4.649604, 4.6480064, 4.5940976, 4.5371714, 4.5730667, 4.615139, 4.6102977, 4.5577097, 4.55157, 4.532478, 4.5236397, 4.468795, 4.5156507, 4.514863]",126
19,1114,"[1114, 1441, 863, 645, 126, 1444, 1430, 1411, 516, 136, 118, 1525, 283, 1254, 1094, 406, 1540, 1352, 487, 123]","[1441, 863, 126, 1114, 1444, 1430, 645, 118, 1525, 1254, 406, 1540, 1352, 1411, 516, 136, 283, 1094, 487, 123]","{581, 453, 1064, 713, 394}","[4.7031856, 4.8135543, 4.783432, 4.6430445, 4.7763715, 4.6676126, 4.6639853, 4.5128202, 4.472012, 4.4495897, 4.576521, 4.5695777, 4.417366, 4.5514507, 4.4136095, 4.5432568, 4.534177, 4.533835, 4.3790255, 4.3750834]",1444
20,191,"[191, 311, 490, 173, 476, 702, 427, 509, 171, 659, 477, 494, 209, 602, 268, 298, 162, 142, 611, 1226]","[191, 311, 509, 659, 173, 490, 476, 702, 427, 171, 477, 494, 209, 602, 268, 298, 142, 162, 1226, 611]",{23},"[5.171377, 5.0348825, 4.9122434, 4.913039, 4.838416, 4.7967954, 4.792888, 4.968234, 4.7588067, 4.9294543, 4.7245827, 4.7200084, 4.691162, 4.6839175, 4.666851, 4.6650753, 4.6602955, 4.663065, 4.627514, 4.6421356]",509
21,1547,"[1547, 311, 698, 1055, 858, 1441, 863, 126, 509, 1581, 1578, 659, 316, 1444, 1430, 99, 845, 270, 191, 903]","[1547, 698, 1055, 1441, 311, 863, 858, 126, 509, 659, 1581, 1444, 1430, 1578, 316, 99, 191, 845, 903, 270]",{167},"[5.0659223, 4.8186164, 4.8506594, 4.8455296, 4.784379, 4.818936, 4.7888603, 4.7827125, 4.7506227, 4.6769385, 4.671145, 4.7117805, 4.627524, 4.672994, 4.6715717, 4.6127005, 4.557536, 4.5310593, 4.5811267, 4.5527515]",1441
22,1547,"[1547, 698, 1055, 1581, 1578, 1154, 845, 903, 63, 316, 1373, 11, 481, 487, 406, 168, 113, 250, 270, 643]","[1547, 698, 1055, 1154, 1581, 1578, 845, 903, 63, 316, 487, 1373, 11, 643, 481, 406, 168, 113, 250, 270]",{143},"[5.312899, 5.097395, 5.0918984, 4.923524, 4.917731, 4.9511375, 4.804092, 4.79912, 4.761471, 4.7510443, 4.7247944, 4.723561, 4.657298, 4.744361, 4.6396947, 4.636885, 4.6322093, 4.6272497, 4.590902, 4.6891327]",1154
23,1547,"[1547, 1154, 698, 1055, 1114, 645, 487, 1581, 911, 1578, 1441, 863, 1411, 250, 516, 54, 630, 882, 1124, 903]","[1547, 698, 1055, 1154, 1578, 1114, 1581, 487, 1441, 645, 863, 903, 911, 516, 250, 54, 630, 882, 1124, 1411]",{942},"[5.3280077, 5.0806036, 5.112455, 5.1081214, 4.9119725, 4.8514795, 4.87153, 4.875606, 4.792894, 4.932127, 4.857537, 4.829314, 4.7212896, 4.774519, 4.7745447, 4.7735753, 4.761214, 4.757171, 4.743242, 4.815344]",1578
24,1547,"[1547, 1441, 863, 698, 1055, 1444, 1430, 118, 1525, 1254, 406, 1540, 1352, 1581, 1578, 1587, 1229, 714, 845, 1145]","[1547, 1441, 863, 1444, 1430, 698, 1055, 118, 1525, 1254, 406, 1540, 1352, 1587, 1581, 1578, 1229, 714, 1145, 845]","{234, 499}","[5.3728037, 5.3081584, 5.278328, 5.156976, 5.1515646, 5.1622176, 5.1604395, 5.071417, 5.0641823, 5.046424, 5.0376754, 5.029353, 5.0288086, 4.983202, 4.9774094, 5.002655, 4.9543915, 4.9258933, 4.8638077, 4.8947287]",1444
25,1441,"[1441, 863, 1547, 1114, 1444, 1430, 659, 645, 118, 911, 1525, 1254, 406, 1540, 1352, 191, 642, 1587, 698, 1055]","[1441, 863, 1114, 1547, 645, 1444, 1430, 911, 659, 118, 1525, 642, 1254, 406, 698, 1055, 1540, 1352, 1587, 191]",{32},"[4.758605, 4.728579, 4.701081, 4.7237144, 4.6126637, 4.610519, 4.5514083, 4.663732, 4.5216684, 4.6047053, 4.514629, 4.496956, 4.488309, 4.479744, 4.47934, 4.433441, 4.5125246, 4.4530463, 4.485284, 4.4797997]",645
26,1547,"[1547, 698, 1055, 1441, 863, 126, 1581, 1578, 1444, 1430, 845, 903, 63, 316, 118, 1525, 1154, 1373, 11, 1254]","[1547, 698, 1055, 1581, 1578, 1441, 863, 126, 1154, 845, 903, 63, 1444, 1430, 316, 1373, 11, 118, 1525, 1254]",{249},"[4.939786, 4.724045, 4.718774, 4.526465, 4.4984097, 4.4921484, 4.5488024, 4.5430093, 4.3805237, 4.3799205, 4.430939, 4.425996, 4.388636, 4.378055, 4.2914987, 4.2824893, 4.4586105, 4.35167, 4.3505993, 4.2665]",1581
