user,item,topk,new_topk,counterfactual,predicted_scores,replacement
0,1547,"[1547, 1114, 698, 1055, 1441, 1154, 645, 863, 911, 1581]","[1114, 645, 911, 1547, 1154, 1441, 863, 698, 1055, 1581]","{0, 66, 130, 230, 232, 105, 108, 14, 239, 119, 125}","[5.1337986, 5.2709775, 4.9179993, 4.911882, 4.983772, 5.1221776, 5.2107973, 4.95285, 5.151766, 4.744437]",911
1,1226,"[1226, 495, 186, 313, 249, 476, 188, 1441, 477, 863]","[1441, 863, 1226, 495, 186, 249, 313, 476, 188, 477]",{300},"[4.265857, 4.128924, 4.1193395, 4.012336, 4.0125275, 4.0113044, 4.010319, 4.3045726, 3.9801416, 4.2747283]",863
2,1441,"[1441, 863, 126, 1444, 1430, 118, 1525, 1254, 55, 406]",,,,-1
3,1441,"[1441, 863, 1444, 1430, 659, 118, 1525, 1254, 1540, 1352]","[1441, 863, 1444, 1430, 118, 1525, 659, 1254, 1540, 1352]",{490},"[4.872821, 4.842854, 4.72688, 4.724649, 4.6158004, 4.6359434, 4.628845, 4.611402, 4.5940657, 4.5937867]",118
4,1547,"[1547, 698, 1055, 858, 1581, 1578, 845, 903, 1431, 1441]","[1547, 698, 1055, 1441, 858, 1581, 1578, 845, 903, 1431]","{672, 480, 450, 512, 100, 677, 648, 170, 43, 654, 211, 213, 662, 535, 22, 186, 571, 120}","[5.6951494, 5.479463, 5.4740915, 5.3543186, 5.3056397, 5.2998524, 5.186291, 5.181308, 5.0500894, 5.3625402]",1441
5,1547,"[1547, 698, 1055, 1581, 1578, 858, 49, 845, 903, 63]","[1547, 858, 49, 698, 1055, 1581, 1578, 63, 845, 903]","{68, 745, 298, 747, 716, 524, 14, 719, 726, 56, 221}","[5.049417, 4.8344426, 4.828965, 4.6606393, 4.6548505, 4.873878, 4.8440714, 4.541216, 4.536184, 4.6488953]",49
6,642,"[642, 1114, 487, 18, 911, 1094, 1154, 1411, 123, 1117]","[1114, 911, 1411, 642, 18, 1154, 487, 1094, 123, 1117]","{769, 770, 6, 262, 648, 392, 10, 16, 23, 663, 809, 682, 557, 559, 178, 564, 821, 310, 183, 568, 315, 318, 831, 321, 325, 838, 583, 200, 712, 716, 338, 85, 470, 854, 216, 341, 228, 868, 490, 627, 502, 759, 120, 127}","[4.9995837, 5.1903706, 4.7193804, 4.8985386, 5.0714035, 4.654098, 4.8184276, 5.0000577, 4.5817757, 4.487739]",1411
7,642,"[642, 18, 1154, 487, 143, 425, 63, 97, 43, 481]",,,,-1
8,1547,"[1547, 858, 49, 698, 1055, 1581, 1578, 1431, 168, 509]","[1547, 858, 49, 509, 698, 1055, 1431, 168, 1581, 1578]","{640, 133, 38, 134, 408, 445, 446}","[5.6529393, 5.617436, 5.587407, 5.438076, 5.4322786, 5.2637815, 5.2579904, 5.3131394, 5.274407, 5.44152]",509
9,270,"[270, 314, 1156, 331, 1226, 313, 188, 11, 295, 954]","[270, 314, 1156, 331, 313, 188, 11, 295, 954, 1226]",{355},"[4.203624, 4.1455874, 4.003773, 3.9951665, 3.6974573, 3.8711982, 3.8412685, 3.8290572, 3.823457, 3.8027213]",313
10,1441,"[1441, 863, 1547, 1444, 1430, 118, 1525, 1254, 1540, 1352]","[1441, 863, 1444, 1430, 118, 1525, 1547, 1254, 1352, 1540]","{0, 163, 324, 296, 593, 986}","[5.116739, 5.087729, 4.869657, 4.9707966, 4.968323, 4.880817, 4.872762, 4.8556695, 4.8380103, 4.8380547]",118
11,1547,"[1547, 1154, 698, 1055, 1114, 645, 487, 1581, 1578, 911]","[1114, 645, 1547, 911, 1154, 698, 1055, 487, 1581, 1578]","{356, 228, 104, 431, 857, 988}","[5.530034, 5.4435654, 5.3145223, 5.3096995, 5.598835, 5.535846, 5.234039, 5.140841, 5.1350493, 5.476951]",911
12,1547,"[1547, 1441, 863, 126, 698, 1055, 1114, 1444, 1430, 645]","[1114, 1547, 1441, 645, 863, 126, 1444, 1430, 698, 1055]","{520, 650, 142, 143, 412}","[5.1322727, 5.078818, 5.047699, 5.0413575, 4.9158974, 4.910068, 5.133618, 4.9328756, 4.9281673, 5.071787]",645
13,1547,"[1547, 698, 1055, 858, 49, 1581, 1578, 63, 171, 845]","[1547, 698, 1055, 1581, 858, 1578, 49, 63, 171, 845]",{115},"[4.6746182, 4.4588714, 4.4535313, 4.284029, 4.2541294, 4.2852163, 4.279423, 4.198704, 4.166338, 4.1657257]",1581
14,270,"[270, 314, 1156, 331, 313, 188, 11, 295, 954, 611]",,,,-1
15,1547,"[1547, 698, 1055, 858, 1581, 1578, 49, 63, 171, 845]","[858, 49, 63, 171, 1547, 1055, 698, 1581, 1578, 845]","{292, 746, 266, 331, 298, 343, 319}","[4.2517295, 4.0212326, 4.03307, 4.4078827, 3.8662338, 3.860443, 4.3744082, 4.319927, 4.287305, 3.7445295]",171
16,311,"[311, 858, 298, 21, 1431, 168, 190, 946, 268, 518]","[858, 21, 1431, 168, 190, 518, 311, 298, 946, 268]","{0, 130, 135, 653, 1038, 271, 272, 1040, 1039, 1042, 916, 917, 409, 27, 926, 417, 292, 167, 425, 682, 43, 175, 945, 564, 441, 454, 201, 586, 76, 78, 465, 85, 214, 87, 728, 604, 94, 95, 96, 97, 227, 102, 489, 238, 367, 752, 1019, 383}","[4.809703, 5.214857, 4.4401684, 4.9404902, 4.9107313, 4.8719263, 4.855216, 4.3208666, 4.3180995, 4.8129787]",518
17,1547,"[1547, 698, 1055, 1581, 1578, 845, 903, 314, 1373, 311]","[1547, 311, 698, 1055, 314, 1581, 1578, 845, 903, 1373]","{514, 646, 774, 136, 10, 1044, 788, 24, 25, 152, 548, 173, 564, 960, 842, 76, 207, 594, 215, 96, 380}","[5.07359, 4.855353, 4.8512635, 4.68124, 4.6754546, 4.566526, 4.5584793, 4.7503405, 4.48415, 4.8622503]",311
18,509,"[509, 1441, 1547, 863, 659, 126, 1444, 1430, 191, 177]","[509, 659, 1441, 1547, 191, 863, 126, 177, 1444, 1430]","{425, 122, 119, 215}","[4.861086, 4.7336254, 4.7310624, 4.7014904, 4.8225408, 4.696592, 4.587683, 4.5813117, 4.7053423, 4.6492033]",191
19,1114,"[1114, 1441, 863, 645, 126, 1444, 1430, 1411, 516, 136]","[1114, 645, 1411, 1441, 516, 863, 126, 136, 1444, 1430]","{288, 122, 1069, 717, 52, 695, 986}","[5.0231895, 4.820482, 4.7908607, 4.96301, 4.785342, 4.674538, 4.6741533, 4.8327913, 4.7920194, 4.7694173]",1411
20,191,"[191, 311, 490, 173, 476, 702, 427, 509, 171, 659]","[191, 311, 509, 659, 173, 490, 476, 702, 427, 171]",{23},"[5.171377, 5.0348825, 4.9122434, 4.913039, 4.838416, 4.7967954, 4.792888, 4.968234, 4.7588067, 4.9294543]",659
21,1547,"[1547, 311, 698, 1055, 858, 1441, 863, 126, 509, 1581]","[1547, 1441, 863, 126, 509, 311, 698, 1055, 858, 1581]","{178, 66, 167}","[5.045094, 4.830794, 4.830758, 4.826035, 4.784834, 4.9098554, 4.879592, 4.873826, 4.8624463, 4.657029]",509
22,1547,"[1547, 698, 1055, 1581, 1578, 1154, 845, 903, 63, 316]","[1547, 698, 1055, 1154, 1581, 1578, 845, 903, 63, 316]",{143},"[5.312899, 5.097395, 5.0918984, 4.923524, 4.917731, 4.9511375, 4.804092, 4.79912, 4.761471, 4.7510443]",1154
23,1547,"[1547, 1154, 698, 1055, 1114, 645, 487, 1581, 911, 1578]","[1547, 1114, 1154, 645, 911, 698, 1055, 487, 1581, 1578]","{256, 227, 582, 19, 311, 221}","[5.1903744, 5.0761466, 4.974747, 4.9699516, 5.1033683, 5.043313, 4.867179, 4.83802, 4.984555, 4.7945952]",911
24,1547,"[1547, 1441, 863, 698, 1055, 1444, 1430, 118, 1525, 1254]","[1441, 863, 1444, 1430, 118, 1547, 1525, 1254, 698, 1055]","{517, 519, 135, 10, 523, 653, 14, 146, 920, 284, 285, 286, 41, 820, 54, 566, 185, 699, 446, 195, 1092, 69, 840, 841, 720, 1108, 600, 602, 731, 732, 609, 742, 233, 234, 618, 105, 239, 499, 117, 631}","[5.148006, 5.3880057, 5.358183, 4.931937, 4.9259067, 5.242063, 5.240114, 5.151265, 5.144021, 5.1262283]",118
25,1441,"[1441, 863, 1547, 1114, 1444, 1430, 659, 645, 118, 911]","[1114, 645, 1441, 863, 911, 1547, 1444, 1430, 118, 659]","{32, 226, 115}","[4.765568, 4.7353454, 4.725401, 4.847568, 4.619626, 4.6170735, 4.5281177, 4.78774, 4.528434, 4.7283297]",911
26,1547,"[1547, 698, 1055, 1441, 863, 126, 1581, 1578, 1444, 1430]","[1441, 863, 126, 1444, 1430, 1547, 698, 1055, 1581, 1578]","{258, 275, 406, 24, 283, 809, 299, 940, 300, 304, 323, 1124, 1125, 998, 744, 1003, 108, 241, 254}","[4.7125397, 4.499736, 4.4944477, 4.866432, 4.851166, 4.8229375, 4.32693, 4.321144, 4.720489, 4.717503]",1444
27,659,"[659, 1547, 1441, 863, 191, 858, 177, 1444, 1430, 517]","[659, 191, 177, 517, 1441, 863, 858, 1444, 1430, 1547]","{742, 11, 365, 183, 88, 601, 509, 31}","[4.9838586, 4.5659623, 4.7346106, 4.7043924, 4.867142, 4.6423554, 4.8097663, 4.5886683, 4.5851316, 4.7429276]",1430
28,1547,"[1547, 1114, 1154, 645, 698, 1055, 911, 1441, 863, 1411]","[1547, 1441, 863, 698, 1055, 1114, 645, 911, 1154, 1411]",{456},"[4.9290295, 4.601755, 4.4429593, 4.541718, 4.716046, 4.701196, 4.4829507, 4.7948275, 4.7655883, 4.412019]",1441
29,1547,"[1547, 698, 1055, 858, 1581, 1578, 63, 316, 845, 903]","[1547, 858, 63, 698, 1055, 316, 1581, 1578, 845, 903]","{1056, 449, 70, 296, 681, 203, 397, 49, 401, 341, 190, 735}","[5.033289, 4.817564, 4.812228, 4.9057326, 4.643797, 4.638008, 4.823361, 4.7519045, 4.5244284, 4.5194464]",63
